#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Distance
#  Description: Distance [m]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: 5.4083269
#  Maximum: 93.5160414
#  Trials: 12188
#  Mean: 24.9738273
# 
#  Variance: 225.7184121
#  Relative variance: 0.3619068
#  Coefficient of variation: 0.6015869
#  Standard deviation: 15.0239280
#  Relative standard deviation: 0.6015869
# 
#  Skewness: 2.5167814
# 
#  2nd moment: 849.3919429
#  3rd moment: 41020.5996520
# 
#  Sum of all values: 304381.0072558
#  (Sum of all values)^2: 10352389.0000000
#  (Sum of all values)^3: 499959068.5589584
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: 0
#  Right border of x-axis: 100
#  Resolution of x-axis: 100
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 6.2202326
#  P02: 6.9288372
#  P03: 7.5710417
#  P04: 8.1937255
#  P05: 8.7911765
#  P06: 9.3477193
#  P07: 9.8822807
#  P08: 10.3346479
#  P09: 10.7638028
#  P10: 11.1876712
#  P11: 11.6050685
#  P12: 12.0202469
#  P13: 12.3964198
#  P14: 12.7725926
#  P15: 13.1417647
#  P16: 13.5002353
#  P17: 13.8587059
#  P18: 14.2171765
#  P19: 14.5756471
#  P20: 14.9341176
#  P21: 15.2368571
#  P22: 15.5270476
#  P23: 15.8172381
#  P24: 16.1116832
#  P25: 16.4133663
#  P26: 16.7150495
#  P27: 17.0160952
#  P28: 17.3062857
#  P29: 17.5964762
#  P30: 17.8866667
#  P31: 18.1497581
#  P32: 18.3954839
#  P33: 18.6412097
#  P34: 18.8869355
#  P35: 19.1430435
#  P36: 19.4080000
#  P37: 19.6729565
#  P38: 19.9379130
#  P39: 20.1994017
#  P40: 20.4598291
#  P41: 20.7202564
#  P42: 20.9806838
#  P43: 21.2174181
#  P44: 21.4522543
#  P45: 21.6870906
#  P46: 21.9219268
#  P47: 22.1579806
#  P48: 22.3946408
#  P49: 22.6313010
#  P50: 22.8679612
#  P51: 23.1010882
#  P52: 23.3297561
#  P53: 23.5584240
#  P54: 23.7870919
#  P55: 24.0152174
#  P56: 24.2360145
#  P57: 24.4568116
#  P58: 24.6776087
#  P59: 24.8984058
#  P60: 25.1128645
#  P61: 25.3219211
#  P62: 25.5309777
#  P63: 25.7400343
#  P64: 25.9490909
#  P65: 26.1862626
#  P66: 26.4324848
#  P67: 26.6787071
#  P68: 26.9249293
#  P69: 27.1934247
#  P70: 27.4716895
#  P71: 27.7499543
#  P72: 28.0279007
#  P73: 28.3030248
#  P74: 28.5781490
#  P75: 28.8532731
#  P76: 29.1328972
#  P77: 29.4176636
#  P78: 29.7024299
#  P79: 29.9871963
#  P80: 30.3039164
#  P81: 30.6221410
#  P82: 30.9403655
#  P83: 31.3279470
#  P84: 31.7315232
#  P85: 32.1606299
#  P86: 32.6404724
#  P87: 33.1462201
#  P88: 33.7293780
#  P89: 34.3911377
#  P90: 35.1442857
#  P91: 36.0192593
#  P92: 37.1877647
#  P93: 38.7338889
#  P94: 42.6455172
#  P95: 50.8400000
#  P96: 68.7466667
#  P97: 81.1816667
#  P98: 85.4413333
#  P99: 88.6977778
#  P100: 93.5160414
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
0.0000000           0.0000000       1.0000000       0.0000000     0
1.0000000           0.0000000       1.0000000       0.0000000     1
2.0000000           0.0000000       1.0000000       0.0000000     2
3.0000000           0.0000000       1.0000000       0.0000000     3
4.0000000           0.0000000       1.0000000       0.0000000     4
5.0000000           0.0000000       1.0000000       0.0000000     5
6.0000000           0.0068920       0.9931080       0.0068920     6
7.0000000           0.0210043       0.9789957       0.0141122     7
8.0000000           0.0367575       0.9632425       0.0157532     8
9.0000000           0.0534952       0.9465048       0.0167378     9
10.0000000          0.0722022       0.9277978       0.0187069    10
11.0000000          0.0955038       0.9044962       0.0233016    11
12.0000000          0.1194618       0.8805382       0.0239580    12
13.0000000          0.1460453       0.8539547       0.0265835    13
14.0000000          0.1739416       0.8260584       0.0278963    14
15.0000000          0.2018379       0.7981621       0.0278963    15
16.0000000          0.2362980       0.7637020       0.0344601    16
17.0000000          0.2694454       0.7305546       0.0331474    17
18.0000000          0.3039055       0.6960945       0.0344601    18
19.0000000          0.3446012       0.6553988       0.0406958    19
20.0000000          0.3823433       0.6176567       0.0377420    20
21.0000000          0.4207417       0.5792583       0.0383984    21
22.0000000          0.4633246       0.5366754       0.0425829    22
23.0000000          0.5055793       0.4944207       0.0422547    23
24.0000000          0.5493108       0.4506892       0.0437315    24
25.0000000          0.5946012       0.4053988       0.0452904    25
26.0000000          0.6424352       0.3575648       0.0478339    26
27.0000000          0.6830489       0.3169511       0.0406137    27
28.0000000          0.7189859       0.2810141       0.0359370    28
29.0000000          0.7553331       0.2446669       0.0363472    29
30.0000000          0.7904496       0.2095504       0.0351165    30
31.0000000          0.8218740       0.1781260       0.0314244    31
32.0000000          0.8466524       0.1533476       0.0247785    32
33.0000000          0.8674926       0.1325074       0.0208402    33
34.0000000          0.8846406       0.1153594       0.0171480    34
35.0000000          0.8983426       0.1016574       0.0137020    35
36.0000000          0.9098293       0.0901707       0.0114867    36
37.0000000          0.9186905       0.0813095       0.0088612    37
38.0000000          0.9256646       0.0743354       0.0069741    38
39.0000000          0.9315720       0.0684280       0.0059074    39
40.0000000          0.9340335       0.0659665       0.0024614    40
41.0000000          0.9361667       0.0638333       0.0021332    41
42.0000000          0.9384641       0.0615359       0.0022973    42
43.0000000          0.9408435       0.0591565       0.0023794    43
44.0000000          0.9425665       0.0574335       0.0017230    44
45.0000000          0.9440433       0.0559567       0.0014769    45
46.0000000          0.9451099       0.0548901       0.0010666    46
47.0000000          0.9464227       0.0535773       0.0013128    47
48.0000000          0.9470791       0.0529209       0.0006564    48
49.0000000          0.9479816       0.0520184       0.0009025    49
50.0000000          0.9489662       0.0510338       0.0009846    50
51.0000000          0.9501969       0.0498031       0.0012307    51
52.0000000          0.9510174       0.0489826       0.0008205    52
53.0000000          0.9515917       0.0484083       0.0005743    53
54.0000000          0.9518379       0.0481621       0.0002461    54
55.0000000          0.9532327       0.0467673       0.0013948    55
56.0000000          0.9538891       0.0461109       0.0006564    56
57.0000000          0.9546275       0.0453725       0.0007384    57
58.0000000          0.9552018       0.0447982       0.0005743    58
59.0000000          0.9558582       0.0441418       0.0006564    59
60.0000000          0.9562685       0.0437315       0.0004102    60
61.0000000          0.9567607       0.0432393       0.0004923    61
62.0000000          0.9573351       0.0426649       0.0005743    62
63.0000000          0.9577453       0.0422547       0.0004102    63
64.0000000          0.9582376       0.0417624       0.0004923    64
65.0000000          0.9584017       0.0415983       0.0001641    65
66.0000000          0.9588119       0.0411881       0.0004102    66
67.0000000          0.9590581       0.0409419       0.0002461    67
68.0000000          0.9596324       0.0403676       0.0005743    68
69.0000000          0.9601247       0.0398753       0.0004923    69
