#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -69.1714013
#  Maximum: -33.8183419
#  Trials: 12188
#  Mean: -45.5282055
# 
#  Variance: 43.1813790
#  Relative variance: 0.0208322
#  Coefficient of variation: 0.1443337
#  Standard deviation: 6.5712540
#  Relative standard deviation: -0.1443337
# 
#  Skewness: -1.5524322
# 
#  2nd moment: 2115.9953320
#  3rd moment: -100709.6007539
# 
#  Sum of all values: -554897.7686190
#  (Sum of all values)^2: 25789751.1061812
#  (Sum of all values)^3: -1227448613.9888175
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -80
#  Right border of x-axis: -20
#  Resolution of x-axis: 120
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -66.6718182
#  P02: -65.2652632
#  P03: -64.3787654
#  P04: -63.5344615
#  P05: -62.6491525
#  P06: -61.4524444
#  P07: -60.2004255
#  P08: -58.4514286
#  P09: -54.5620408
#  P10: -54.2356164
#  P11: -53.9308148
#  P12: -53.4528814
#  P13: -51.5492308
#  P14: -49.7589474
#  P15: -48.6839506
#  P16: -48.1687770
#  P17: -47.8311712
#  P18: -47.5566667
#  P19: -47.3564985
#  P20: -47.1756677
#  P21: -46.9964490
#  P22: -46.8720816
#  P23: -46.7477143
#  P24: -46.6233469
#  P25: -46.4992593
#  P26: -46.4089778
#  P27: -46.3186963
#  P28: -46.2284148
#  P29: -46.1381333
#  P30: -46.0478519
#  P31: -45.9592023
#  P32: -45.8723932
#  P33: -45.7855840
#  P34: -45.6987749
#  P35: -45.6119658
#  P36: -45.5251567
#  P37: -45.4486595
#  P38: -45.3763701
#  P39: -45.3040807
#  P40: -45.2317912
#  P41: -45.1595018
#  P42: -45.0872123
#  P43: -45.0149229
#  P44: -44.9393985
#  P45: -44.8630326
#  P46: -44.7866667
#  P47: -44.7103008
#  P48: -44.6339348
#  P49: -44.5575689
#  P50: -44.4787836
#  P51: -44.3925884
#  P52: -44.3063932
#  P53: -44.2201980
#  P54: -44.1340028
#  P55: -44.0478076
#  P56: -43.9602635
#  P57: -43.8710395
#  P58: -43.7818155
#  P59: -43.6925915
#  P60: -43.6033675
#  P61: -43.5141435
#  P62: -43.4163458
#  P63: -43.3169331
#  P64: -43.2175204
#  P65: -43.1181077
#  P66: -43.0186949
#  P67: -42.9092110
#  P68: -42.7973945
#  P69: -42.6855780
#  P70: -42.5737615
#  P71: -42.4604198
#  P72: -42.3441221
#  P73: -42.2278244
#  P74: -42.1115267
#  P75: -41.9942661
#  P76: -41.8544954
#  P77: -41.7147248
#  P78: -41.5749541
#  P79: -41.4206180
#  P80: -41.2494382
#  P81: -41.0782584
#  P82: -40.9003614
#  P83: -40.7168072
#  P84: -40.5332530
#  P85: -40.3242958
#  P86: -40.1097183
#  P87: -39.8888806
#  P88: -39.6614925
#  P89: -39.4276230
#  P90: -39.1778689
#  P91: -38.8980233
#  P92: -38.5437209
#  P93: -38.1894186
#  P94: -37.8030556
#  P95: -37.3689394
#  P96: -36.8776000
#  P97: -36.2771154
#  P98: -35.5276471
#  P99: -34.7867500
#  P100: -33.8183419
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-80.0000000         0.0000000       1.0000000       0.0000000     0
-79.5000000         0.0000000       1.0000000       0.0000000     1
-79.0000000         0.0000000       1.0000000       0.0000000     2
-78.5000000         0.0000000       1.0000000       0.0000000     3
-78.0000000         0.0000000       1.0000000       0.0000000     4
-77.5000000         0.0000000       1.0000000       0.0000000     5
-77.0000000         0.0000000       1.0000000       0.0000000     6
-76.5000000         0.0000000       1.0000000       0.0000000     7
-76.0000000         0.0000000       1.0000000       0.0000000     8
-75.5000000         0.0000000       1.0000000       0.0000000     9
-75.0000000         0.0000000       1.0000000       0.0000000    10
-74.5000000         0.0000000       1.0000000       0.0000000    11
-74.0000000         0.0000000       1.0000000       0.0000000    12
-73.5000000         0.0000000       1.0000000       0.0000000    13
-73.0000000         0.0000000       1.0000000       0.0000000    14
-72.5000000         0.0000000       1.0000000       0.0000000    15
-72.0000000         0.0000000       1.0000000       0.0000000    16
-71.5000000         0.0000000       1.0000000       0.0000000    17
-71.0000000         0.0000000       1.0000000       0.0000000    18
-70.5000000         0.0000000       1.0000000       0.0000000    19
-70.0000000         0.0000000       1.0000000       0.0000000    20
-69.5000000         0.0000000       1.0000000       0.0000000    21
-69.0000000         0.0001641       0.9998359       0.0001641    22
-68.5000000         0.0009025       0.9990975       0.0007384    23
-68.0000000         0.0025435       0.9974565       0.0016410    24
-67.5000000         0.0050049       0.9949951       0.0024614    25
-67.0000000         0.0076305       0.9923695       0.0026255    26
-66.5000000         0.0112406       0.9887594       0.0036101    27
-66.0000000         0.0142763       0.9857237       0.0030358    28
-65.5000000         0.0178044       0.9821956       0.0035281    29
-65.0000000         0.0224811       0.9775189       0.0046767    30
-64.5000000         0.0283886       0.9716114       0.0059074    31
-64.0000000         0.0350345       0.9649655       0.0066459    32
-63.5000000         0.0403676       0.9596324       0.0053331    33
-63.0000000         0.0466032       0.9533968       0.0062356    34
-62.5000000         0.0514440       0.9485560       0.0048408    35
-62.0000000         0.0556285       0.9443715       0.0041844    36
-61.5000000         0.0596488       0.9403512       0.0040203    37
-61.0000000         0.0633410       0.9366590       0.0036922    38
-60.5000000         0.0676895       0.9323105       0.0043485    39
-60.0000000         0.0715458       0.9284542       0.0038563    40
-59.5000000         0.0748277       0.9251723       0.0032819    41
-59.0000000         0.0773712       0.9226288       0.0025435    42
-58.5000000         0.0798326       0.9201674       0.0024614    43
-58.0000000         0.0815556       0.9184444       0.0017230    44
-57.5000000         0.0831966       0.9168034       0.0016410    45
-57.0000000         0.0843453       0.9156547       0.0011487    46
-56.5000000         0.0849196       0.9150804       0.0005743    47
-56.0000000         0.0859042       0.9140958       0.0009846    48
-55.5000000         0.0863144       0.9136856       0.0004102    49
-55.0000000         0.0864785       0.9135215       0.0001641    50
-54.5000000         0.0904989       0.9095011       0.0040203    51
-54.0000000         0.1084673       0.8915327       0.0179685    52
-53.5000000         0.1195438       0.8804562       0.0110765    53
-53.0000000         0.1243846       0.8756154       0.0048408    54
-52.5000000         0.1264358       0.8735642       0.0020512    55
-52.0000000         0.1280768       0.8719232       0.0016410    56
-51.5000000         0.1302100       0.8697900       0.0021332    57
-51.0000000         0.1325074       0.8674926       0.0022973    58
-50.5000000         0.1352150       0.8647850       0.0027076    59
-50.0000000         0.1384969       0.8615031       0.0032819    60
-49.5000000         0.1416147       0.8583853       0.0031178    61
-49.0000000         0.1457991       0.8542009       0.0041844    62
-48.5000000         0.1524450       0.8475550       0.0066459    63
-48.0000000         0.1638497       0.8361503       0.0114047    64
-47.5000000         0.1820643       0.8179357       0.0182146    65
-47.0000000         0.2097145       0.7902855       0.0276501    66
-46.5000000         0.2499180       0.7500820       0.0402035    67
-46.0000000         0.3053003       0.6946997       0.0553823    68
-45.5000000         0.3628979       0.6371021       0.0575976    69
-45.0000000         0.4320643       0.5679357       0.0691664    70
-44.5000000         0.4975386       0.5024614       0.0654742    71
-44.0000000         0.5555464       0.4444536       0.0580079    72
-43.5000000         0.6115852       0.3884148       0.0560387    73
-43.0000000         0.6618805       0.3381195       0.0502954    74
-42.5000000         0.7065967       0.2934033       0.0447161    75
-42.0000000         0.7495898       0.2504102       0.0429931    76
-41.5000000         0.7853627       0.2146373       0.0357729    77
-41.0000000         0.8145717       0.1854283       0.0292091    78
-40.5000000         0.8418116       0.1581884       0.0272399    79
-40.0000000         0.8651132       0.1348868       0.0233016    80
-39.5000000         0.8871021       0.1128979       0.0219888    81
-39.0000000         0.9071218       0.0928782       0.0200197    82
-38.5000000         0.9212340       0.0787660       0.0141122    83
-38.0000000         0.9353462       0.0646538       0.0141122    84
-37.5000000         0.9471611       0.0528389       0.0118149    85
-37.0000000         0.9579915       0.0420085       0.0108303    86
-36.5000000         0.9661963       0.0338037       0.0082048    87
-36.0000000         0.9747292       0.0252708       0.0085330    88
-35.5000000         0.9803085       0.0196915       0.0055793    89
-35.0000000         0.9872005       0.0127995       0.0068920    90
-34.5000000         0.9937644       0.0062356       0.0065638    91
-34.0000000         0.9967181       0.0032819       0.0029537    92
-33.5000000         1.0000000       0.0000000       0.0032819    93
-33.0000000         1.0000000       0.0000000       0.0000000    94
-32.5000000         1.0000000       0.0000000       0.0000000    95
-32.0000000         1.0000000       0.0000000       0.0000000    96
-31.5000000         1.0000000       0.0000000       0.0000000    97
-31.0000000         1.0000000       0.0000000       0.0000000    98
-30.5000000         1.0000000       0.0000000       0.0000000    99
-30.0000000         1.0000000       0.0000000       0.0000000   100
-29.5000000         1.0000000       0.0000000       0.0000000   101
-29.0000000         1.0000000       0.0000000       0.0000000   102
-28.5000000         1.0000000       0.0000000       0.0000000   103
-28.0000000         1.0000000       0.0000000       0.0000000   104
-27.5000000         1.0000000       0.0000000       0.0000000   105
-27.0000000         1.0000000       0.0000000       0.0000000   106
-26.5000000         1.0000000       0.0000000       0.0000000   107
-26.0000000         1.0000000       0.0000000       0.0000000   108
-25.5000000         1.0000000       0.0000000       0.0000000   109
-25.0000000         1.0000000       0.0000000       0.0000000   110
-24.5000000         1.0000000       0.0000000       0.0000000   111
-24.0000000         1.0000000       0.0000000       0.0000000   112
