#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: SINR
#  Description: SINR [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -0.0005593
#  Maximum: 44.1451632
#  Trials: 12188
#  Mean: 19.8262176
# 
#  Variance: 173.4087097
#  Relative variance: 0.4411550
#  Coefficient of variation: 0.6641950
#  Standard deviation: 13.1684741
#  Relative standard deviation: 0.6641950
# 
#  Skewness: 0.3204289
# 
#  2nd moment: 566.4733879
#  3rd moment: 18838.2465014
# 
#  Sum of all values: 241641.9406518
#  (Sum of all values)^2: 6904177.6521622
#  (Sum of all values)^3: 229600548.3594561
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -10
#  Right border of x-axis: 60
#  Resolution of x-axis: 300
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: 0.5695333
#  P02: 1.1256993
#  P03: 1.6867160
#  P04: 2.2935194
#  P05: 2.7992308
#  P06: 3.3123721
#  P07: 3.9081149
#  P08: 4.4463626
#  P09: 4.9452865
#  P10: 5.4025225
#  P11: 5.7827895
#  P12: 6.1481185
#  P13: 6.4522155
#  P14: 6.7080551
#  P15: 6.9505507
#  P16: 7.1446196
#  P17: 7.3057056
#  P18: 7.4500643
#  P19: 7.5911830
#  P20: 7.7305882
#  P21: 7.8832186
#  P22: 8.0207141
#  P23: 8.1397043
#  P24: 8.2649444
#  P25: 8.3966049
#  P26: 8.5328738
#  P27: 8.6711658
#  P28: 8.8170051
#  P29: 8.9658853
#  P30: 9.1187814
#  P31: 9.2892848
#  P32: 9.4532449
#  P33: 9.6111667
#  P34: 9.7804444
#  P35: 9.9532924
#  P36: 10.1383118
#  P37: 10.3465938
#  P38: 10.5671841
#  P39: 10.7827799
#  P40: 11.0447383
#  P41: 11.2906667
#  P42: 11.5732444
#  P43: 11.9130892
#  P44: 12.2103137
#  P45: 12.5872289
#  P46: 13.0044606
#  P47: 13.4161481
#  P48: 13.8949892
#  P49: 14.5783268
#  P50: 15.2739837
#  P51: 16.1228085
#  P52: 16.9585556
#  P53: 17.5887619
#  P54: 18.3202051
#  P55: 18.9577778
#  P56: 19.6088593
#  P57: 20.2795177
#  P58: 20.9493333
#  P59: 21.6730256
#  P60: 22.4167742
#  P61: 23.3583423
#  P62: 24.1498889
#  P63: 25.0158148
#  P64: 25.8683889
#  P65: 26.7266667
#  P66: 27.7102796
#  P67: 28.4791373
#  P68: 29.4476444
#  P69: 30.3194815
#  P70: 31.0764912
#  P71: 31.8310175
#  P72: 32.5908889
#  P73: 33.2896232
#  P74: 33.8815238
#  P75: 34.4804348
#  P76: 35.0376111
#  P77: 35.5137119
#  P78: 35.8946869
#  P79: 36.2783291
#  P80: 36.5792192
#  P81: 36.8153333
#  P82: 37.0316346
#  P83: 37.2282323
#  P84: 37.4092358
#  P85: 37.5826423
#  P86: 37.7895704
#  P87: 37.9635684
#  P88: 38.1162118
#  P89: 38.2491028
#  P90: 38.3881742
#  P91: 38.5310821
#  P92: 38.7263724
#  P93: 38.9581582
#  P94: 39.1850499
#  P95: 39.5219157
#  P96: 39.9388148
#  P97: 40.4544151
#  P98: 41.1552821
#  P99: 42.1467160
#  P100: 44.1451632
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-10.0000000         0.0000000       1.0000000       0.0000000     0
-9.7666667          0.0000000       1.0000000       0.0000000     1
-9.5333333          0.0000000       1.0000000       0.0000000     2
-9.3000000          0.0000000       1.0000000       0.0000000     3
-9.0666667          0.0000000       1.0000000       0.0000000     4
-8.8333333          0.0000000       1.0000000       0.0000000     5
-8.6000000          0.0000000       1.0000000       0.0000000     6
-8.3666667          0.0000000       1.0000000       0.0000000     7
-8.1333333          0.0000000       1.0000000       0.0000000     8
-7.9000000          0.0000000       1.0000000       0.0000000     9
-7.6666667          0.0000000       1.0000000       0.0000000    10
-7.4333333          0.0000000       1.0000000       0.0000000    11
-7.2000000          0.0000000       1.0000000       0.0000000    12
-6.9666667          0.0000000       1.0000000       0.0000000    13
-6.7333333          0.0000000       1.0000000       0.0000000    14
-6.5000000          0.0000000       1.0000000       0.0000000    15
-6.2666667          0.0000000       1.0000000       0.0000000    16
-6.0333333          0.0000000       1.0000000       0.0000000    17
-5.8000000          0.0000000       1.0000000       0.0000000    18
-5.5666667          0.0000000       1.0000000       0.0000000    19
-5.3333333          0.0000000       1.0000000       0.0000000    20
-5.1000000          0.0000000       1.0000000       0.0000000    21
-4.8666667          0.0000000       1.0000000       0.0000000    22
-4.6333333          0.0000000       1.0000000       0.0000000    23
-4.4000000          0.0000000       1.0000000       0.0000000    24
-4.1666667          0.0000000       1.0000000       0.0000000    25
-3.9333333          0.0000000       1.0000000       0.0000000    26
-3.7000000          0.0000000       1.0000000       0.0000000    27
-3.4666667          0.0000000       1.0000000       0.0000000    28
-3.2333333          0.0000000       1.0000000       0.0000000    29
-3.0000000          0.0000000       1.0000000       0.0000000    30
-2.7666667          0.0000000       1.0000000       0.0000000    31
-2.5333333          0.0000000       1.0000000       0.0000000    32
-2.3000000          0.0000000       1.0000000       0.0000000    33
-2.0666667          0.0000000       1.0000000       0.0000000    34
-1.8333333          0.0000000       1.0000000       0.0000000    35
-1.6000000          0.0000000       1.0000000       0.0000000    36
-1.3666667          0.0000000       1.0000000       0.0000000    37
-1.1333333          0.0000000       1.0000000       0.0000000    38
-0.9000000          0.0000000       1.0000000       0.0000000    39
-0.6666667          0.0000000       1.0000000       0.0000000    40
-0.4333333          0.0000000       1.0000000       0.0000000    41
-0.2000000          0.0000000       1.0000000       0.0000000    42
0.0333333           0.0018871       0.9981129       0.0018871    43
0.2666667           0.0041844       0.9958156       0.0022973    44
0.5000000           0.0085330       0.9914670       0.0043485    45
0.7333333           0.0134559       0.9865441       0.0049229    46
0.9666667           0.0171480       0.9828520       0.0036922    47
1.2000000           0.0213325       0.9786675       0.0041844    48
1.4333333           0.0254349       0.9745651       0.0041024    49
1.6666667           0.0296193       0.9703807       0.0041844    50
1.9000000           0.0340499       0.9659501       0.0044306    51
2.1333333           0.0375779       0.9624221       0.0035281    52
2.3666667           0.0411060       0.9588940       0.0035281    53
2.6000000           0.0463571       0.9536429       0.0052511    54
2.8333333           0.0506236       0.9493764       0.0042665    55
3.0666667           0.0554644       0.9445356       0.0048408    56
3.3000000           0.0598129       0.9401871       0.0043485    57
3.5333333           0.0633410       0.9366590       0.0035281    58
3.7666667           0.0671152       0.9328848       0.0037742    59
4.0000000           0.0718740       0.9281260       0.0047588    60
4.2333333           0.0757302       0.9242698       0.0038563    61
4.4666667           0.0804070       0.9195930       0.0046767    62
4.7000000           0.0848375       0.9151625       0.0044306    63
4.9333333           0.0897604       0.9102396       0.0049229    64
5.1666667           0.0944372       0.9055628       0.0046767    65
5.4000000           0.0999344       0.9000656       0.0054972    66
5.6333333           0.1060059       0.8939941       0.0060715    67
