#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: Minimum Pathloss
#  Description: Minimum Pathloss [dB]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -93.1714013
#  Maximum: -57.8183419
#  Trials: 12188
#  Mean: -69.5282055
# 
#  Variance: 43.1813790
#  Relative variance: 0.0089325
#  Coefficient of variation: 0.0945121
#  Standard deviation: 6.5712540
#  Relative standard deviation: -0.0945121
# 
#  Skewness: -1.5524322
# 
#  2nd moment: 4877.3491959
#  3rd moment: -345558.0037584
# 
#  Sum of all values: -847409.7686190
#  (Sum of all values)^2: 59445131.9998911
#  (Sum of all values)^3: -4211660949.8073692
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -100
#  Right border of x-axis: -40
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 0
#  Underflows in percent: 0
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: -90.6436923
#  P02: -89.2909144
#  P03: -88.3726316
#  P04: -87.5351739
#  P05: -86.6117647
#  P06: -85.4492308
#  P07: -84.2116084
#  P08: -82.4375385
#  P09: -78.6287398
#  P10: -78.2476671
#  P11: -77.9402774
#  P12: -77.4635294
#  P13: -75.5492308
#  P14: -73.7021154
#  P15: -72.6943144
#  P16: -72.1168834
#  P17: -71.7866154
#  P18: -71.5522308
#  P19: -71.3380322
#  P20: -71.1745081
#  P21: -71.0109839
#  P22: -70.8723707
#  P23: -70.7627170
#  P24: -70.6530634
#  P25: -70.5434098
#  P26: -70.4370920
#  P27: -70.3406043
#  P28: -70.2441166
#  P29: -70.1476290
#  P30: -70.0511413
#  P31: -69.9594526
#  P32: -69.8731760
#  P33: -69.7868995
#  P34: -69.7006229
#  P35: -69.6143464
#  P36: -69.5297528
#  P37: -69.4574491
#  P38: -69.3851453
#  P39: -69.3128416
#  P40: -69.2405379
#  P41: -69.1682341
#  P42: -69.0959304
#  P43: -69.0181080
#  P44: -68.9383175
#  P45: -68.8585270
#  P46: -68.7787365
#  P47: -68.6989460
#  P48: -68.6191555
#  P49: -68.5373732
#  P50: -68.4554921
#  P51: -68.3736110
#  P52: -68.2917299
#  P53: -68.2098488
#  P54: -68.1254006
#  P55: -68.0353969
#  P56: -67.9453932
#  P57: -67.8553895
#  P58: -67.7653858
#  P59: -67.6759324
#  P60: -67.5888545
#  P61: -67.5017766
#  P62: -67.4146987
#  P63: -67.3276209
#  P64: -67.2405430
#  P65: -67.1354668
#  P66: -67.0281151
#  P67: -66.9207634
#  P68: -66.8134116
#  P69: -66.7027618
#  P70: -66.5898054
#  P71: -66.4768489
#  P72: -66.3638925
#  P73: -66.2440333
#  P74: -66.1173389
#  P75: -65.9906445
#  P76: -65.8639501
#  P77: -65.7175614
#  P78: -65.5679542
#  P79: -65.4183470
#  P80: -65.2517824
#  P81: -65.0802814
#  P82: -64.9078521
#  P83: -64.7252148
#  P84: -64.5425774
#  P85: -64.3373626
#  P86: -64.1141392
#  P87: -63.8974282
#  P88: -63.6875316
#  P89: -63.4478974
#  P90: -63.1353846
#  P91: -62.8436107
#  P92: -62.5395951
#  P93: -62.1695142
#  P94: -61.8406440
#  P95: -61.3581940
#  P96: -60.8596923
#  P97: -60.2386538
#  P98: -59.6442809
#  P99: -58.7924038
#  P100: -57.8183419
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-100.0000000        0.0000000       1.0000000       0.0000000     0
-99.5384615         0.0000000       1.0000000       0.0000000     1
-99.0769231         0.0000000       1.0000000       0.0000000     2
-98.6153846         0.0000000       1.0000000       0.0000000     3
-98.1538462         0.0000000       1.0000000       0.0000000     4
-97.6923077         0.0000000       1.0000000       0.0000000     5
-97.2307692         0.0000000       1.0000000       0.0000000     6
-96.7692308         0.0000000       1.0000000       0.0000000     7
-96.3076923         0.0000000       1.0000000       0.0000000     8
-95.8461538         0.0000000       1.0000000       0.0000000     9
-95.3846154         0.0000000       1.0000000       0.0000000    10
-94.9230769         0.0000000       1.0000000       0.0000000    11
-94.4615385         0.0000000       1.0000000       0.0000000    12
-94.0000000         0.0000000       1.0000000       0.0000000    13
-93.5384615         0.0000000       1.0000000       0.0000000    14
-93.0769231         0.0001641       0.9998359       0.0001641    15
-92.6153846         0.0008205       0.9991795       0.0006564    16
-92.1538462         0.0015589       0.9984411       0.0007384    17
-91.6923077         0.0041024       0.9958976       0.0025435    18
-91.2307692         0.0063177       0.9936823       0.0022153    19
-90.7692308         0.0091073       0.9908927       0.0027896    20
-90.3076923         0.0123892       0.9876108       0.0032819    21
-89.8461538         0.0157532       0.9842468       0.0033640    22
-89.3846154         0.0191172       0.9808828       0.0033640    23
-88.9230769         0.0234657       0.9765343       0.0043485    24
-88.4615385         0.0287988       0.9712012       0.0053331    25
-88.0000000         0.0350345       0.9649655       0.0062356    26
-87.5384615         0.0399573       0.9600427       0.0049229    27
-87.0769231         0.0459468       0.9540532       0.0059895    28
-86.6153846         0.0499672       0.9500328       0.0040203    29
-86.1538462         0.0541516       0.9458484       0.0041844    30
-85.6923077         0.0579258       0.9420742       0.0037742    31
-85.2307692         0.0618641       0.9381359       0.0039383    32
-84.7692308         0.0650640       0.9349360       0.0031999    33
-84.3076923         0.0692484       0.9307516       0.0041844    34
-83.8461538         0.0728585       0.9271415       0.0036101    35
-83.3846154         0.0756482       0.9243518       0.0027896    36
-82.9230769         0.0776173       0.9223827       0.0019691    37
-82.4615385         0.0799147       0.9200853       0.0022973    38
-82.0000000         0.0815556       0.9184444       0.0016410    39
-81.5384615         0.0831966       0.9168034       0.0016410    40
-81.0769231         0.0839350       0.9160650       0.0007384    41
-80.6153846         0.0848375       0.9151625       0.0009025    42
-80.1538462         0.0855760       0.9144240       0.0007384    43
-79.6923077         0.0861503       0.9138497       0.0005743    44
-79.2307692         0.0864785       0.9135215       0.0003282    45
-78.7692308         0.0864785       0.9135215       0.0000000    46
-78.3076923         0.0980473       0.9019527       0.0115688    47
-77.8461538         0.1130620       0.8869380       0.0150148    48
-77.3846154         0.1214309       0.8785691       0.0083689    49
-76.9230769         0.1246308       0.8753692       0.0031999    50
-76.4615385         0.1266820       0.8733180       0.0020512    51
-76.0000000         0.1280768       0.8719232       0.0013948    52
-75.5384615         0.1300459       0.8699541       0.0019691    53
-75.0769231         0.1320151       0.8679849       0.0019691    54
-74.6153846         0.1348047       0.8651953       0.0027896    55
-74.1538462         0.1374303       0.8625697       0.0026255    56
-73.6923077         0.1400558       0.8599442       0.0026255    57
-73.2307692         0.1435839       0.8564161       0.0035281    58
-72.7692308         0.1490811       0.8509189       0.0054972    59
-72.3076923         0.1547424       0.8452576       0.0056613    60
-71.8461538         0.1674598       0.8325402       0.0127174    61
-71.3846154         0.1871513       0.8128487       0.0196915    62
-70.9230769         0.2153758       0.7846242       0.0282245    63
-70.4615385         0.2574664       0.7425336       0.0420906    64
-70.0000000         0.3053003       0.6946997       0.0478339    65
-69.5384615         0.3587955       0.6412045       0.0534952    66
-69.0769231         0.4226288       0.5773712       0.0638333    67
