#  PROBE RESULTS (THIS IS A MAGIC LINE)
# ---------------------------------------------------------------------------
# Evaluation: PDF
# ---------------------------------------------------------------------------
#  Name: RxPower
#  Description: Received Power [dBm]
# ---------------------------------------------------------------------------
#  Evaluation terminated successfully!
# ---------------------------------------------------------------------------
#  Common Statistics 
#  Minimum: -85.4161165
#  Maximum: -33.8183419
#  Trials: 12188
#  Mean: -55.3388269
# 
#  Variance: 201.7358081
#  Relative variance: 0.0658754
#  Coefficient of variation: 0.2566620
#  Standard deviation: 14.2033731
#  Relative standard deviation: -0.2566620
# 
#  Skewness: -0.7476933
# 
#  2nd moment: 3264.1050242
#  3rd moment: -205099.9442068
# 
#  Sum of all values: -674469.6228533
#  (Sum of all values)^2: 39782912.0345282
#  (Sum of all values)^3: -2499758119.9930563
# -----------------------------------------------------------
# PDF statistics 
#  Left border of x-axis: -80
#  Right border of x-axis: -20
#  Resolution of x-axis: 130
# -----------------------------------------------------------
# PDF data 
#  Underflows: 1107
#  Underflows in percent: 0.09082704
#  Overflows: 0
#  Overflows in percent: 0
# -----------------------------------------------------------
# Percentiles
#  P01: NaN
#  P02: NaN
#  P03: NaN
#  P04: NaN
#  P05: NaN
#  P06: NaN
#  P07: NaN
#  P08: NaN
#  P09: NaN
#  P10: -79.4617113
#  P11: -78.7911289
#  P12: -78.1200810
#  P13: -77.3379564
#  P14: -76.5580308
#  P15: -75.7950104
#  P16: -74.9983008
#  P17: -74.2343813
#  P18: -73.3964897
#  P19: -72.6023707
#  P20: -71.6477454
#  P21: -70.6193846
#  P22: -69.7661538
#  P23: -68.7381132
#  P24: -67.8477680
#  P25: -66.9090909
#  P26: -65.9442915
#  P27: -64.9493117
#  P28: -64.1540125
#  P29: -63.2054111
#  P30: -62.2215385
#  P31: -61.1020308
#  P32: -59.6894675
#  P33: -57.3503297
#  P34: -54.4896631
#  P35: -54.2572155
#  P36: -54.0377238
#  P37: -53.8286074
#  P38: -53.6181119
#  P39: -53.4050350
#  P40: -53.1910555
#  P41: -52.9730233
#  P42: -52.7533267
#  P43: -52.5098102
#  P44: -52.2627952
#  P45: -51.9986999
#  P46: -51.7230450
#  P47: -51.4315823
#  P48: -51.1180183
#  P49: -50.8008989
#  P50: -50.4848747
#  P51: -50.1438649
#  P52: -49.7851417
#  P53: -49.4233884
#  P54: -49.0782822
#  P55: -48.6459172
#  P56: -48.2691391
#  P57: -47.9016184
#  P58: -47.5757132
#  P59: -47.3026438
#  P60: -47.0622889
#  P61: -46.8336210
#  P62: -46.6217406
#  P63: -46.4164402
#  P64: -46.2250192
#  P65: -46.0492308
#  P66: -45.8734423
#  P67: -45.7080143
#  P68: -45.5444902
#  P69: -45.3813290
#  P70: -45.2340717
#  P71: -45.0868143
#  P72: -44.9395570
#  P73: -44.7846921
#  P74: -44.6288685
#  P75: -44.4730450
#  P76: -44.3060207
#  P77: -44.1381033
#  P78: -43.9679882
#  P79: -43.7876923
#  P80: -43.6073964
#  P81: -43.4130297
#  P82: -43.2099528
#  P83: -43.0039792
#  P84: -42.7925043
#  P85: -42.5769877
#  P86: -42.3406335
#  P87: -42.0997318
#  P88: -41.8416937
#  P89: -41.5592394
#  P90: -41.2432152
#  P91: -40.9052456
#  P92: -40.5385880
#  P93: -40.1229256
#  P94: -39.6523077
#  P95: -39.1468795
#  P96: -38.5263790
#  P97: -37.8075113
#  P98: -36.8438462
#  P99: -35.6138462
#  P100: -33.8183419
# -----------------------------------------------------------
# 
# x_n                  F(x_n)           G(x_n)     P(x_n-1 < X    n
#                    =P(X<=x_n)       =P(X>x_n)   AND X <= x_n)
# 
-80.0000000         0.0908270       0.9091730       0.0000000     0
-79.5384615         0.0987857       0.9012143       0.0079586     1
-79.0769231         0.1060880       0.8939120       0.0073023     2
-78.6153846         0.1124056       0.8875944       0.0063177     3
-78.1538462         0.1195438       0.8804562       0.0071382     4
-77.6923077         0.1257795       0.8742205       0.0062356     5
-77.2307692         0.1312767       0.8687233       0.0054972     6
-76.7692308         0.1371841       0.8628159       0.0059074     7
-76.3076923         0.1433377       0.8566623       0.0061536     8
-75.8461538         0.1493272       0.8506728       0.0059895     9
-75.3846154         0.1553988       0.8446012       0.0060715    10
-74.9230769         0.1608960       0.8391040       0.0054972    11
-74.4615385         0.1672137       0.8327863       0.0063177    12
-74.0000000         0.1728750       0.8271250       0.0056613    13
-73.5384615         0.1782081       0.8217919       0.0053331    14
-73.0769231         0.1840335       0.8159665       0.0058254    15
-72.6153846         0.1898589       0.8101411       0.0058254    16
-72.1538462         0.1948638       0.8051362       0.0050049    17
-71.6923077         0.1995405       0.8004595       0.0046767    18
-71.2307692         0.2042993       0.7957007       0.0047588    19
-70.7692308         0.2084017       0.7915983       0.0041024    20
-70.3076923         0.2133246       0.7866754       0.0049229    21
-69.8461538         0.2192320       0.7807680       0.0059074    22
-69.3846154         0.2236626       0.7763374       0.0044306    23
-68.9230769         0.2282573       0.7717427       0.0045947    24
-68.4615385         0.2326058       0.7673942       0.0043485    25
-68.0000000         0.2383492       0.7616508       0.0057434    26
-67.5384615         0.2433541       0.7566459       0.0050049    27
-67.0769231         0.2483590       0.7516410       0.0050049    28
-66.6153846         0.2528717       0.7471283       0.0045126    29
-66.1538462         0.2578766       0.7421234       0.0050049    30
-65.6923077         0.2625533       0.7374467       0.0046767    31
-65.2307692         0.2671480       0.7328520       0.0045947    32
-64.7692308         0.2718247       0.7281753       0.0046767    33
-64.3076923         0.2779783       0.7220217       0.0061536    34
-63.8461538         0.2840499       0.7159501       0.0060715    35
-63.3846154         0.2881523       0.7118477       0.0041024    36
-62.9230769         0.2929111       0.7070889       0.0047588    37
-62.4615385         0.2980801       0.7019199       0.0051690    38
-62.0000000         0.3017722       0.6982278       0.0036922    39
-61.5384615         0.3061208       0.6938792       0.0043485    40
-61.0769231         0.3102232       0.6897768       0.0041024    41
-60.6153846         0.3135871       0.6864129       0.0033640    42
-60.1538462         0.3172793       0.6827207       0.0036922    43
-59.6923077         0.3199869       0.6800131       0.0027076    44
-59.2307692         0.3221201       0.6778799       0.0021332    45
-58.7692308         0.3242534       0.6757466       0.0021332    46
-58.3076923         0.3262225       0.6737775       0.0019691    47
-57.8461538         0.3285199       0.6714801       0.0022973    48
-57.3846154         0.3299147       0.6700853       0.0013948    49
-56.9230769         0.3310633       0.6689367       0.0011487    50
-56.4615385         0.3319659       0.6680341       0.0009025    51
-56.0000000         0.3327043       0.6672957       0.0007384    52
-55.5384615         0.3331145       0.6668855       0.0004102    53
-55.0769231         0.3331966       0.6668034       0.0000820    54
-54.6153846         0.3345914       0.6654086       0.0013948    55
-54.1538462         0.3544470       0.6455530       0.0198556    56
-53.6923077         0.3765179       0.6234821       0.0220709    57
-53.2307692         0.3981785       0.6018215       0.0216606    58
-52.7692308         0.4193469       0.5806531       0.0211684    59
-52.3076923         0.4383000       0.5617000       0.0189531    60
-51.8461538         0.4557762       0.5442238       0.0174762    61
-51.3846154         0.4716114       0.5283886       0.0158352    62
-50.9230769         0.4861339       0.5138661       0.0145225    63
-50.4615385         0.5007384       0.4992616       0.0146045    64
-50.0000000         0.5141943       0.4858057       0.0134559    65
-49.5384615         0.5266656       0.4733344       0.0124713    66
